strain	date	country	state
HRTV/MZ617376/GA/2019	2019-04-28	USA	USA/Georgia
HRTV/MZ617373/GA/2019	2019-04-28	USA	USA/Georgia
HRTV/MZ617370/GA/2019	2019-06-14	USA	USA/Georgia
HRTV/MZ440345/NY/2018	2018-XX-XX	USA	USA/New York
HRTV/MZ440342/NY/2018	2018-XX-XX	USA	USA/New York
HRTV/KJ740148/TN/2018	2013-XX-XX	USA	USA/Tennessee
HRTV/JX005847/MO/2009	2009-05-06	USA	USA/Missouri
HRTV/JX005846/MO/2009	2009-06-19	USA	USA/Missouri
HRTV/KS15-543/KS/2015	2015-XX-XX	USA	USA/Kansas
HRTV/M12-66/MO/2012	2012-XX-XX	USA	USA/Missouri
HRTV/M12-75/MO/2012	2012-XX-XX	USA	USA/Missouri
HRTV/MO-4/MO/2009	2009-XX-XX	USA	USA/Missouri
HRTV/R99207b/TN/2013	2013-XX-XX	USA	USA/Tennessee
SFTV/KT254588/CHN/2014	2014-XX-XX	CHN	
